m,p,mu,max_stages,stage,alpha,tau,fdr_or,mdr_or,fdr_dd,mdr_dd,fdr_or_always,mdr_or_always,fdr_dd_always,mdr_dd_always
5000,0.05,2,10,1,0.05,2,0.04770510460661105,0.9514142158897919,0.0472875757355227,0.9510197706514317,0,0.9999913043478261,0,0.999820023011389
5000,0.05,2,10,2,0.05,2,0.049424663955518665,0.5949861362570471,0.04611868497694204,0.6128667248964857,0.0015091093117408907,0.9694692309517554,0.0014166666666666666,0.9834303696005581
5000,0.05,2,10,3,0.05,2,0.04921904720814155,0.2843394441781659,0.047240728239306695,0.30318042101123327,0.006740860344380691,0.5921034201001322,0.002265556395197103,0.8231606848359935
5000,0.05,2,10,4,0.05,2,0.04875242916412197,0.12127709854935656,0.05118202202018165,0.13801518573541915,0.010573016905583795,0.3208256898580825,0.003911745806802882,0.5551718938800312
5000,0.05,2,10,5,0.05,2,0.048136466308765814,0.0492418313864223,0.053538802725407855,0.06320631018670937,0.01261671375141396,0.17510602258590857,0.004735316677327424,0.3283161561446641
5000,0.05,2,10,6,0.05,2,0.047210378835356226,0.017903593664122804,0.05323197050243976,0.02771876805389654,0.013638022466014619,0.09632389477489448,0.005568375535871763,0.17658865311292393
5000,0.05,2,10,7,0.05,2,0.04742626626717484,0.006493963231837224,0.05289681019139261,0.012656089337041952,0.014254045792304116,0.052555479281532085,0.006370567629403127,0.0896329209865113
5000,0.05,2,10,8,0.05,2,0.047619038294728404,0.002326278054635871,0.052338688410192256,0.005728843090450658,0.014570382248401948,0.0291387142892023,0.006966927211154535,0.042981707942396266
5000,0.05,2,10,9,0.05,2,0.04810490626332243,7.125460819204175e-4,0.051801105397112364,0.002682142668065677,0.014735360514395435,0.016044559514493486,0.007547718356333573,0.019546213224146586
5000,0.05,2,10,10,0.05,2,0.04816583687965453,2.422180693957456e-4,0.051402265882909484,0.0013573140074513025,0.014797932806526323,0.00885367300176776,0.008053070866296672,0.008512492164893356
