m,p,max_stages,alpha,tau,fdr_or,mdr_or,fdr_dd,mdr_dd,fdr_or_always,mdr_or_always,fdr_dd_always,mdr_dd_always,total_obs_or,total_obs_dd,total_obs_or_always,total_obs_dd_always
5000,0.01,5,0.05,2,0.048003740226119626,0.19602770697093957,0.03957874966547498,0.3335344598313515,0.011667415836989894,0.3005420750769971,0.004836063683727389,0.5091902372381598,24931.684,24946.556,25000,25000
5000,0.02,5,0.05,2,0.047575235513067346,0.15045895351157293,0.043532682020253406,0.19891780523237945,0.011871512004576937,0.24514140256118475,0.003546213372719191,0.4324272315364235,24836.84,24851.848,25000,25000
5000,0.03,5,0.05,2,0.047514402307128195,0.12298143843289176,0.04612713162348713,0.14611983363683617,0.011657409012997468,0.2088479393990655,0.0036639961694995794,0.37997936897923534,24727.924,24742.246,25000,25000
5000,0.04,5,0.05,2,0.04762633399168305,0.10686795815415534,0.046497952374606535,0.12149952379318343,0.012285054263648192,0.18603190816254034,0.004613355137121294,0.3460591247127332,24610.124,24622.656,25000,25000
5000,0.05,5,0.05,2,0.04990772797981223,0.09521669655105083,0.04883115692098281,0.10410019798721738,0.01347068647180116,0.1710751686245977,0.004685259780966155,0.3247388246779727,24492.49,24505.358,25000,25000
5000,0.060000000000000005,5,0.05,2,0.04889932841083613,0.08907954865558335,0.0482606272507402,0.0953631462030918,0.013253773367637311,0.1605513976428568,0.0046995352006445465,0.30329575413730103,24362.11,24375.934,25000,25000
5000,0.06999999999999999,5,0.05,2,0.050364848138676525,0.08248930825008982,0.0501697709590735,0.0868126040212197,0.013421403514597668,0.1517008906211207,0.004565029314800736,0.28798189234664523,24231.702,24245.732,25000,25000
5000,0.08,5,0.05,2,0.04936676325156361,0.07691956509395967,0.04945780940002701,0.07991445712779395,0.012626184220371097,0.14302550926517246,0.004768139215546715,0.27240923265364586,24097.228,24109.576,25000,25000
5000,0.09,5,0.05,2,0.049524230317897405,0.07128509211669762,0.04842410153928124,0.07487409237908593,0.012562866964640412,0.1355840508444326,0.004718685659432473,0.2597896764147378,23954.962,23972.72,25000,25000
5000,0.09999999999999999,5,0.05,2,0.05024755254538968,0.06811426962980474,0.049857885154017734,0.07049961316782104,0.01271762567078227,0.13138993196895385,0.004931425475794308,0.2518915478335201,23819.576,23834.642,25000,25000
